date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:30	55020/55020	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-d6ec%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/tabs.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/tabs.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:30	46381/46381	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-b52d%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/typography.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/typography.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:30	34522/34522	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-86da%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/tooltips.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/tooltips.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:31	47273/47273	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-b8a9%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/dragula.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/dragula.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:33	30256/30256	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-7630%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/clipboard.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/clipboard.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:33	30499/30499	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-7723%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/context-menu.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/context-menu.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:34	36827/36827	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-8fdb%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/slider.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/slider.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:34	35916/35916	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-8c4c%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/carousel.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/carousel.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:34	28311/28311	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-6e97%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/colcade.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/colcade.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
12:32:35	29916/29916	---MCZ	200	added ('OK')	text/html	etag:W/%225cd0092d-74dc%22	http://www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/loaders.html	C:/Mes%20Sites%20Web/bogyui/www.urbanui.com/bogy/template/demo/vertical-default-light/pages/ui-features/loaders.html	(from http://www.urbanui.com/bogy/template/demo/vertical-default-light/index.html)
